GEO_ID,NAME,S2201_C04_001E
Geography,Geographic Area Name,Estimate!!Percent households receiving food stamps/SNAP!!Households
1400000US18097310104,"Census Tract 3101.04, Marion County, Indiana",10
1400000US18097310105,"Census Tract 3101.05, Marion County, Indiana",16.2
1400000US18097310106,"Census Tract 3101.06, Marion County, Indiana",6.3
1400000US18097310108,"Census Tract 3101.08, Marion County, Indiana",1.8
1400000US18097310110,"Census Tract 3101.10, Marion County, Indiana",5.1
1400000US18097310111,"Census Tract 3101.11, Marion County, Indiana",9.2
1400000US18097310112,"Census Tract 3101.12, Marion County, Indiana",1.1
1400000US18097310113,"Census Tract 3101.13, Marion County, Indiana",0
1400000US18097310201,"Census Tract 3102.01, Marion County, Indiana",7
1400000US18097310203,"Census Tract 3102.03, Marion County, Indiana",6
1400000US18097310204,"Census Tract 3102.04, Marion County, Indiana",19.7
1400000US18097310305,"Census Tract 3103.05, Marion County, Indiana",13.8
1400000US18097310306,"Census Tract 3103.06, Marion County, Indiana",31.1
1400000US18097310308,"Census Tract 3103.08, Marion County, Indiana",8
1400000US18097310309,"Census Tract 3103.09, Marion County, Indiana",21.2
1400000US18097310310,"Census Tract 3103.10, Marion County, Indiana",7.2
1400000US18097310311,"Census Tract 3103.11, Marion County, Indiana",8.7
1400000US18097310312,"Census Tract 3103.12, Marion County, Indiana",4
1400000US18097320105,"Census Tract 3201.05, Marion County, Indiana",8.3
1400000US18097320106,"Census Tract 3201.06, Marion County, Indiana",2.2
1400000US18097320107,"Census Tract 3201.07, Marion County, Indiana",0.4
1400000US18097320108,"Census Tract 3201.08, Marion County, Indiana",15.1
1400000US18097320109,"Census Tract 3201.09, Marion County, Indiana",11.8
1400000US18097320202,"Census Tract 3202.02, Marion County, Indiana",0
1400000US18097320203,"Census Tract 3202.03, Marion County, Indiana",6.2
1400000US18097320205,"Census Tract 3202.05, Marion County, Indiana",2.6
1400000US18097320206,"Census Tract 3202.06, Marion County, Indiana",31.3
1400000US18097320301,"Census Tract 3203.01, Marion County, Indiana",0
1400000US18097320303,"Census Tract 3203.03, Marion County, Indiana",2.2
1400000US18097320305,"Census Tract 3203.05, Marion County, Indiana",0
1400000US18097320306,"Census Tract 3203.06, Marion County, Indiana",0
1400000US18097320400,"Census Tract 3204, Marion County, Indiana",1.5
1400000US18097320500,"Census Tract 3205, Marion County, Indiana",8.2
1400000US18097320600,"Census Tract 3206, Marion County, Indiana",5.2
1400000US18097320700,"Census Tract 3207, Marion County, Indiana",0
1400000US18097320800,"Census Tract 3208, Marion County, Indiana",0
1400000US18097320901,"Census Tract 3209.01, Marion County, Indiana",3.9
1400000US18097320902,"Census Tract 3209.02, Marion County, Indiana",17.3
1400000US18097320903,"Census Tract 3209.03, Marion County, Indiana",10.9
1400000US18097321001,"Census Tract 3210.01, Marion County, Indiana",7.7
1400000US18097321002,"Census Tract 3210.02, Marion County, Indiana",3.7
1400000US18097321100,"Census Tract 3211, Marion County, Indiana",7.7
1400000US18097321200,"Census Tract 3212, Marion County, Indiana",0.8
1400000US18097321300,"Census Tract 3213, Marion County, Indiana",0
1400000US18097321400,"Census Tract 3214, Marion County, Indiana",1.1
1400000US18097321600,"Census Tract 3216, Marion County, Indiana",7.2
1400000US18097321700,"Census Tract 3217, Marion County, Indiana",0
1400000US18097321800,"Census Tract 3218, Marion County, Indiana",1.2
1400000US18097321900,"Census Tract 3219, Marion County, Indiana",1
1400000US18097322000,"Census Tract 3220, Marion County, Indiana",13.9
1400000US18097322100,"Census Tract 3221, Marion County, Indiana",2.9
1400000US18097322200,"Census Tract 3222, Marion County, Indiana",1.1
1400000US18097322300,"Census Tract 3223, Marion County, Indiana",1.7
1400000US18097322400,"Census Tract 3224, Marion County, Indiana",2.5
1400000US18097322500,"Census Tract 3225, Marion County, Indiana",12.8
1400000US18097322601,"Census Tract 3226.01, Marion County, Indiana",55.8
1400000US18097322602,"Census Tract 3226.02, Marion County, Indiana",5.3
1400000US18097322700,"Census Tract 3227, Marion County, Indiana",16
1400000US18097330103,"Census Tract 3301.03, Marion County, Indiana",1
1400000US18097330105,"Census Tract 3301.05, Marion County, Indiana",11.3
1400000US18097330106,"Census Tract 3301.06, Marion County, Indiana",3.8
1400000US18097330107,"Census Tract 3301.07, Marion County, Indiana",0.5
1400000US18097330108,"Census Tract 3301.08, Marion County, Indiana",1
1400000US18097330109,"Census Tract 3301.09, Marion County, Indiana",0
1400000US18097330203,"Census Tract 3302.03, Marion County, Indiana",1.1
1400000US18097330204,"Census Tract 3302.04, Marion County, Indiana",1.1
1400000US18097330206,"Census Tract 3302.06, Marion County, Indiana",1.2
1400000US18097330208,"Census Tract 3302.08, Marion County, Indiana",1.3
1400000US18097330210,"Census Tract 3302.10, Marion County, Indiana",8.3
1400000US18097330211,"Census Tract 3302.11, Marion County, Indiana",33
1400000US18097330212,"Census Tract 3302.12, Marion County, Indiana",13.7
1400000US18097330213,"Census Tract 3302.13, Marion County, Indiana",1.2
1400000US18097330401,"Census Tract 3304.01, Marion County, Indiana",4.4
1400000US18097330500,"Census Tract 3305, Marion County, Indiana",13.5
1400000US18097330600,"Census Tract 3306, Marion County, Indiana",27
1400000US18097330701,"Census Tract 3307.01, Marion County, Indiana",26.9
1400000US18097330702,"Census Tract 3307.02, Marion County, Indiana",13.4
1400000US18097330803,"Census Tract 3308.03, Marion County, Indiana",45
1400000US18097330804,"Census Tract 3308.04, Marion County, Indiana",33.6
1400000US18097330805,"Census Tract 3308.05, Marion County, Indiana",24.2
1400000US18097330806,"Census Tract 3308.06, Marion County, Indiana",33.3
1400000US18097330900,"Census Tract 3309, Marion County, Indiana",31.9
1400000US18097331000,"Census Tract 3310, Marion County, Indiana",26.5
1400000US18097340101,"Census Tract 3401.01, Marion County, Indiana",9.3
1400000US18097340102,"Census Tract 3401.02, Marion County, Indiana",10.7
1400000US18097340108,"Census Tract 3401.08, Marion County, Indiana",7.1
1400000US18097340111,"Census Tract 3401.11, Marion County, Indiana",1.1
1400000US18097340112,"Census Tract 3401.12, Marion County, Indiana",11
1400000US18097340113,"Census Tract 3401.13, Marion County, Indiana",17.1
1400000US18097340114,"Census Tract 3401.14, Marion County, Indiana",2.2
1400000US18097340115,"Census Tract 3401.15, Marion County, Indiana",8.2
1400000US18097340201,"Census Tract 3402.01, Marion County, Indiana",15.8
1400000US18097340202,"Census Tract 3402.02, Marion County, Indiana",9.1
1400000US18097340301,"Census Tract 3403.01, Marion County, Indiana",40.1
1400000US18097340302,"Census Tract 3403.02, Marion County, Indiana",15.1
1400000US18097340400,"Census Tract 3404, Marion County, Indiana",21.3
1400000US18097340500,"Census Tract 3405, Marion County, Indiana",16.7
1400000US18097340600,"Census Tract 3406, Marion County, Indiana",13.5
1400000US18097340700,"Census Tract 3407, Marion County, Indiana",22.2
1400000US18097340800,"Census Tract 3408, Marion County, Indiana",14.1
1400000US18097340901,"Census Tract 3409.01, Marion County, Indiana",4.5
1400000US18097340903,"Census Tract 3409.03, Marion County, Indiana",6.3
1400000US18097340904,"Census Tract 3409.04, Marion County, Indiana",7.7
1400000US18097341000,"Census Tract 3410, Marion County, Indiana",5.1
1400000US18097341100,"Census Tract 3411, Marion County, Indiana",16.9
1400000US18097341200,"Census Tract 3412, Marion County, Indiana",21.6
1400000US18097341600,"Census Tract 3416, Marion County, Indiana",26.7
1400000US18097341701,"Census Tract 3417.01, Marion County, Indiana",30.5
1400000US18097341702,"Census Tract 3417.02, Marion County, Indiana",11.3
1400000US18097341902,"Census Tract 3419.02, Marion County, Indiana",1.7
1400000US18097341903,"Census Tract 3419.03, Marion County, Indiana",10.5
1400000US18097341904,"Census Tract 3419.04, Marion County, Indiana",15.8
1400000US18097342000,"Census Tract 3420, Marion County, Indiana",3.5
1400000US18097342101,"Census Tract 3421.01, Marion County, Indiana",14.8
1400000US18097342200,"Census Tract 3422, Marion County, Indiana",18.9
1400000US18097342300,"Census Tract 3423, Marion County, Indiana",22.7
1400000US18097342400,"Census Tract 3424, Marion County, Indiana",15.9
1400000US18097342500,"Census Tract 3425, Marion County, Indiana",20.3
1400000US18097342600,"Census Tract 3426, Marion County, Indiana",19.4
1400000US18097350100,"Census Tract 3501, Marion County, Indiana",23
1400000US18097350300,"Census Tract 3503, Marion County, Indiana",30.4
1400000US18097350400,"Census Tract 3504, Marion County, Indiana",5.6
1400000US18097350500,"Census Tract 3505, Marion County, Indiana",25.1
1400000US18097350600,"Census Tract 3506, Marion County, Indiana",20.5
1400000US18097350700,"Census Tract 3507, Marion County, Indiana",20.1
1400000US18097350800,"Census Tract 3508, Marion County, Indiana",29.3
1400000US18097350900,"Census Tract 3509, Marion County, Indiana",22.7
1400000US18097351000,"Census Tract 3510, Marion County, Indiana",20.4
1400000US18097351200,"Census Tract 3512, Marion County, Indiana",34.7
1400000US18097351500,"Census Tract 3515, Marion County, Indiana",8.8
1400000US18097351600,"Census Tract 3516, Marion County, Indiana",4.2
1400000US18097351700,"Census Tract 3517, Marion County, Indiana",7.8
1400000US18097351900,"Census Tract 3519, Marion County, Indiana",22.2
1400000US18097352100,"Census Tract 3521, Marion County, Indiana",25.9
1400000US18097352300,"Census Tract 3523, Marion County, Indiana",17.1
1400000US18097352400,"Census Tract 3524, Marion County, Indiana",24.9
1400000US18097352500,"Census Tract 3525, Marion County, Indiana",19.8
1400000US18097352600,"Census Tract 3526, Marion County, Indiana",22.6
1400000US18097352700,"Census Tract 3527, Marion County, Indiana",30.5
1400000US18097352800,"Census Tract 3528, Marion County, Indiana",27.4
1400000US18097353300,"Census Tract 3533, Marion County, Indiana",6.2
1400000US18097353500,"Census Tract 3535, Marion County, Indiana",11.7
1400000US18097353600,"Census Tract 3536, Marion County, Indiana",19.7
1400000US18097354201,"Census Tract 3542.01, Marion County, Indiana",13.8
1400000US18097354202,"Census Tract 3542.02, Marion County, Indiana",10.4
1400000US18097354400,"Census Tract 3544, Marion County, Indiana",19.7
1400000US18097354500,"Census Tract 3545, Marion County, Indiana",19.8
1400000US18097354700,"Census Tract 3547, Marion County, Indiana",13.7
1400000US18097354800,"Census Tract 3548, Marion County, Indiana",37
1400000US18097354900,"Census Tract 3549, Marion County, Indiana",25.9
1400000US18097355000,"Census Tract 3550, Marion County, Indiana",33
1400000US18097355100,"Census Tract 3551, Marion County, Indiana",54.6
1400000US18097355300,"Census Tract 3553, Marion County, Indiana",13.9
1400000US18097355400,"Census Tract 3554, Marion County, Indiana",23.8
1400000US18097355500,"Census Tract 3555, Marion County, Indiana",20
1400000US18097355600,"Census Tract 3556, Marion County, Indiana",34.5
1400000US18097355700,"Census Tract 3557, Marion County, Indiana",24
1400000US18097355900,"Census Tract 3559, Marion County, Indiana",9.5
1400000US18097356200,"Census Tract 3562, Marion County, Indiana",3.4
1400000US18097356400,"Census Tract 3564, Marion County, Indiana",24
1400000US18097356900,"Census Tract 3569, Marion County, Indiana",25.1
1400000US18097357000,"Census Tract 3570, Marion County, Indiana",16.2
1400000US18097357100,"Census Tract 3571, Marion County, Indiana",11.6
1400000US18097357200,"Census Tract 3572, Marion County, Indiana",33.2
1400000US18097357300,"Census Tract 3573, Marion County, Indiana",28.6
1400000US18097357400,"Census Tract 3574, Marion County, Indiana",40.1
1400000US18097357500,"Census Tract 3575, Marion County, Indiana",13.5
1400000US18097357601,"Census Tract 3576.01, Marion County, Indiana",17.4
1400000US18097357602,"Census Tract 3576.02, Marion County, Indiana",20.2
1400000US18097357800,"Census Tract 3578, Marion County, Indiana",29.9
1400000US18097357900,"Census Tract 3579, Marion County, Indiana",19.8
1400000US18097358000,"Census Tract 3580, Marion County, Indiana",33.8
1400000US18097358100,"Census Tract 3581, Marion County, Indiana",25.9
1400000US18097360101,"Census Tract 3601.01, Marion County, Indiana",22.9
1400000US18097360102,"Census Tract 3601.02, Marion County, Indiana",35.4
1400000US18097360201,"Census Tract 3602.01, Marion County, Indiana",21.6
1400000US18097360202,"Census Tract 3602.02, Marion County, Indiana",15.4
1400000US18097360301,"Census Tract 3603.01, Marion County, Indiana",11.6
1400000US18097360302,"Census Tract 3603.02, Marion County, Indiana",30.1
1400000US18097360401,"Census Tract 3604.01, Marion County, Indiana",20.3
1400000US18097360402,"Census Tract 3604.02, Marion County, Indiana",43.8
1400000US18097360405,"Census Tract 3604.05, Marion County, Indiana",13.2
1400000US18097360406,"Census Tract 3604.06, Marion County, Indiana",35.5
1400000US18097360407,"Census Tract 3604.07, Marion County, Indiana",18.3
1400000US18097360501,"Census Tract 3605.01, Marion County, Indiana",8.4
1400000US18097360502,"Census Tract 3605.02, Marion County, Indiana",11.9
1400000US18097360601,"Census Tract 3606.01, Marion County, Indiana",1.3
1400000US18097360602,"Census Tract 3606.02, Marion County, Indiana",20.1
1400000US18097360700,"Census Tract 3607, Marion County, Indiana",3.3
1400000US18097360800,"Census Tract 3608, Marion County, Indiana",15.8
1400000US18097360900,"Census Tract 3609, Marion County, Indiana",31.6
1400000US18097361000,"Census Tract 3610, Marion County, Indiana",1.7
1400000US18097361100,"Census Tract 3611, Marion County, Indiana",11.3
1400000US18097361200,"Census Tract 3612, Marion County, Indiana",15.6
1400000US18097361300,"Census Tract 3613, Marion County, Indiana",6.9
1400000US18097361401,"Census Tract 3614.01, Marion County, Indiana",3.1
1400000US18097361402,"Census Tract 3614.02, Marion County, Indiana",13.7
1400000US18097361601,"Census Tract 3616.01, Marion County, Indiana",1.7
1400000US18097361602,"Census Tract 3616.02, Marion County, Indiana",12.5
1400000US18097370201,"Census Tract 3702.01, Marion County, Indiana",13.1
1400000US18097370203,"Census Tract 3702.03, Marion County, Indiana",22.4
1400000US18097370204,"Census Tract 3702.04, Marion County, Indiana",11.4
1400000US18097370303,"Census Tract 3703.03, Marion County, Indiana",5.1
1400000US18097370304,"Census Tract 3703.04, Marion County, Indiana",2
1400000US18097370305,"Census Tract 3703.05, Marion County, Indiana",42.6
1400000US18097370306,"Census Tract 3703.06, Marion County, Indiana",8.9
1400000US18097380101,"Census Tract 3801.01, Marion County, Indiana",4.8
1400000US18097380102,"Census Tract 3801.02, Marion County, Indiana",20
1400000US18097380103,"Census Tract 3801.03, Marion County, Indiana",12.5
1400000US18097380200,"Census Tract 3802, Marion County, Indiana",20.5
1400000US18097380301,"Census Tract 3803.01, Marion County, Indiana",14
1400000US18097380302,"Census Tract 3803.02, Marion County, Indiana",18.2
1400000US18097380402,"Census Tract 3804.02, Marion County, Indiana",23.6
1400000US18097380403,"Census Tract 3804.03, Marion County, Indiana",10.2
1400000US18097380404,"Census Tract 3804.04, Marion County, Indiana",10.8
1400000US18097380501,"Census Tract 3805.01, Marion County, Indiana",10.6
1400000US18097380502,"Census Tract 3805.02, Marion County, Indiana",14.4
1400000US18097380600,"Census Tract 3806, Marion County, Indiana",7.7
1400000US18097380700,"Census Tract 3807, Marion County, Indiana",10.3
1400000US18097380800,"Census Tract 3808, Marion County, Indiana",9.1
1400000US18097380901,"Census Tract 3809.01, Marion County, Indiana",4.5
1400000US18097380902,"Census Tract 3809.02, Marion County, Indiana",0.9
1400000US18097381002,"Census Tract 3810.02, Marion County, Indiana",2.2
1400000US18097381003,"Census Tract 3810.03, Marion County, Indiana",14.2
1400000US18097381004,"Census Tract 3810.04, Marion County, Indiana",25.1
1400000US18097381101,"Census Tract 3811.01, Marion County, Indiana",2
1400000US18097381102,"Census Tract 3811.02, Marion County, Indiana",6
1400000US18097381203,"Census Tract 3812.03, Marion County, Indiana",28
1400000US18097381204,"Census Tract 3812.04, Marion County, Indiana",13.5
1400000US18097381205,"Census Tract 3812.05, Marion County, Indiana",6.5
1400000US18097381206,"Census Tract 3812.06, Marion County, Indiana",3.2
1400000US18097381207,"Census Tract 3812.07, Marion County, Indiana",4.8
1400000US18097390102,"Census Tract 3901.02, Marion County, Indiana",16.3
1400000US18097390103,"Census Tract 3901.03, Marion County, Indiana",8.9
1400000US18097390104,"Census Tract 3901.04, Marion County, Indiana",4
1400000US18097390200,"Census Tract 3902, Marion County, Indiana",8.3
1400000US18097390300,"Census Tract 3903, Marion County, Indiana",4
1400000US18097390405,"Census Tract 3904.05, Marion County, Indiana",1.5
1400000US18097390406,"Census Tract 3904.06, Marion County, Indiana",3.6
1400000US18097390407,"Census Tract 3904.07, Marion County, Indiana",0.9
1400000US18097390408,"Census Tract 3904.08, Marion County, Indiana",2.7
1400000US18097390409,"Census Tract 3904.09, Marion County, Indiana",2.2
1400000US18097390410,"Census Tract 3904.10, Marion County, Indiana",1.4
1400000US18097390411,"Census Tract 3904.11, Marion County, Indiana",8.6
1400000US18097390500,"Census Tract 3905, Marion County, Indiana",31.3
1400000US18097390601,"Census Tract 3906.01, Marion County, Indiana",11.3
1400000US18097390602,"Census Tract 3906.02, Marion County, Indiana",7.3
1400000US18097390700,"Census Tract 3907, Marion County, Indiana",18.5
1400000US18097390801,"Census Tract 3908.01, Marion County, Indiana",-
1400000US18097390802,"Census Tract 3908.02, Marion County, Indiana",7.7
1400000US18097390900,"Census Tract 3909, Marion County, Indiana",7.8
1400000US18097391001,"Census Tract 3910.01, Marion County, Indiana",0
1400000US18097391002,"Census Tract 3910.02, Marion County, Indiana",1.9
1600000US1836003,"Indianapolis city (balance), Indiana",12.7
